Sl. No,State/UT,District,No of 5G BTS installed,No of 5G BTS Fiberized
1,Andaman and Nicobar Islands,South Andaman,129,111
2,Andaman and Nicobar Islands,North & Middle Andaman,0,0
3,Andaman and Nicobar Islands,Nicobar,0,0
4,Andhra Pradesh,Alluri Sitharama Raju,127,108
5,Andhra Pradesh,Anakapalli,545,334
6,Andhra Pradesh,Anantapur,976,654
7,Andhra Pradesh,Annamayya,641,414
8,Andhra Pradesh,Bapatla,497,300
9,Andhra Pradesh,Chittoor,806,499
10,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,569,285
11,Andhra Pradesh,East Godavari,792,542
12,Andhra Pradesh,ELURU,781,497
13,Andhra Pradesh,Guntur,919,676
14,Andhra Pradesh,Kakinada,746,502
15,Andhra Pradesh,Krishna,631,436
16,Andhra Pradesh,Kurnool,771,544
17,Andhra Pradesh,Nandyal,534,358
18,Andhra Pradesh,NTR,925,691
19,Andhra Pradesh,Palnadu,663,391
20,Andhra Pradesh,Parvathipuram Manyam,182,135
21,Andhra Pradesh,Prakasam,714,474
22,Andhra Pradesh,Sri Potti Sriramulu Nellore,897,643
23,Andhra Pradesh,Sri Sathya Sai,670,425
24,Andhra Pradesh,Srikakulam,659,440
25,Andhra Pradesh,Tirupati,1084,756
26,Andhra Pradesh,Visakhapatnam,1132,871
27,Andhra Pradesh,Vizianagaram,572,395
28,Andhra Pradesh,West Godavari,676,427
29,Andhra Pradesh,Y S R,877,585
30,Arunachal Pradesh,Anjaw,4,3
31,Arunachal Pradesh,Changlang,51,34
32,Arunachal Pradesh,Dibang Valley,2,1
33,Arunachal Pradesh,East Kameng,12,6
34,Arunachal Pradesh,East Siang,49,27
35,Arunachal Pradesh,Kamle,3,3
36,Arunachal Pradesh,Kra Daadi,3,1
37,Arunachal Pradesh,Kurung Kumey,4,4
38,Arunachal Pradesh,Lepa Rada,4,2
39,Arunachal Pradesh,Lohit,30,17
40,Arunachal Pradesh,Longding,11,6
41,Arunachal Pradesh,Lower Dibang Valley,30,14
42,Arunachal Pradesh,Lower Siang,7,3
43,Arunachal Pradesh,Lower Subansiri,22,14
44,Arunachal Pradesh,Namsai,31,21
45,Arunachal Pradesh,Pakke Kesang,1,1
46,Arunachal Pradesh,Papum Pare,180,85
47,Arunachal Pradesh,Siang,8,6
48,Arunachal Pradesh,Tawang,15,10
49,Arunachal Pradesh,Tirap,25,12
50,Arunachal Pradesh,Upper Siang,5,4
51,Arunachal Pradesh,Upper Subansiri,13,5
52,Arunachal Pradesh,West Kameng,54,40
53,Arunachal Pradesh,West Siang,23,11
54,Assam,Baksa,139,85
55,Assam,Barpeta,525,324
56,Assam,Biswanath,47,22
57,Assam,Bongaigaon,222,157
58,Assam,Cachar,448,281
59,Assam,Charaideo,51,20
60,Assam,Chirang,119,81
61,Assam,Darrang,176,126
62,Assam,Dhemaji,203,130
63,Assam,Dhubri,327,199
64,Assam,Dibrugarh,395,284
65,Assam,Dima Hasao,81,52
66,Assam,Goalpara,291,223
67,Assam,Golaghat,222,167
68,Assam,Hailakandi,121,74
69,Assam,Hojai,66,33
70,Assam,Jorhat,335,243
71,Assam,Kamrup,562,374
72,Assam,Kamrup (Metro),1109,834
73,Assam,Karbi Anglong,183,135
74,Assam,Karimganj,232,153
75,Assam,Kokrajhar,190,145
76,Assam,Lakhimpur,228,164
77,Assam,Majuli,10,6
78,Assam,Morigaon,211,154
79,Assam,Nagaon,728,478
80,Assam,Nalbari,165,118
81,Assam,Sivasagar,263,194
82,Assam,Sonitpur,420,277
83,Assam,South Salmara-Mankachar,105,40
84,Assam,Tinsukia,362,259
85,Assam,Udalguri,98,71
86,Assam,West Karbi Anglong,42,30
87,Bihar,Araria,411,261
88,Bihar,Arwal,107,65
89,Bihar,Aurangabad,450,298
90,Bihar,Banka,275,144
91,Bihar,Begusarai,720,465
92,Bihar,Bhagalpur,748,507
93,Bihar,Bhojpur,572,361
94,Bihar,Buxar,336,231
95,Bihar,Darbhanga,851,480
96,Bihar,East Champaran,927,531
97,Bihar,Gaya,864,516
98,Bihar,Gopalganj,598,277
99,Bihar,Jamui,335,211
100,Bihar,Jehanabad,195,121
101,Bihar,Kaimur,231,145
102,Bihar,Katihar,615,378
103,Bihar,Khagaria,297,196
104,Bihar,Kishanganj,311,168
105,Bihar,Lakhisarai,203,139
106,Bihar,Madhepura,275,156
107,Bihar,Madhubani,857,437
108,Bihar,Munger,354,236
109,Bihar,Muzaffarpur,1183,685
110,Bihar,Nalanda,676,406
111,Bihar,Nawada,423,210
112,Bihar,Patna,2935,2340
113,Bihar,Purnia,591,351
114,Bihar,Rohtas,551,366
